epoch,accuracy,learning_rate,loss,top_2_accuracy,val_accuracy,val_loss,val_top_2_accuracy
0,0.7037037014961243,0.0010000000474974513,1.0149905681610107,0.8506571054458618,0.9111111164093018,0.8667524456977844,0.9944444298744202
1,0.8649940490722656,0.0010000000474974513,0.4608480930328369,0.9629629850387573,0.9555555582046509,0.5576621890068054,0.9944444298744202
2,0.8948625922203064,0.0010000000474974513,0.36212337017059326,0.979689359664917,0.9555555582046509,0.37517741322517395,0.9944444298744202
3,0.9151732325553894,0.0010000000474974513,0.29573309421539307,0.9844683408737183,0.9611111283302307,0.2782030403614044,0.9944444298744202
4,0.9127837419509888,0.0010000000474974513,0.316927433013916,0.9725208878517151,0.9388889074325562,0.24609489738941193,0.9944444298744202
5,0.918757438659668,0.0010000000474974513,0.2765035033226013,0.9772998690605164,0.949999988079071,0.21189045906066895,0.9944444298744202
6,0.9474313259124756,0.0010000000474974513,0.19055265188217163,0.9868578314781189,0.9611111283302307,0.20042866468429565,0.9944444298744202
7,0.9438470602035522,0.0010000000474974513,0.2010158896446228,0.9940263032913208,0.9444444179534912,0.2314031422138214,0.9944444298744202
8,0.9474313259124756,0.0010000000474974513,0.19887544214725494,0.9904420375823975,0.9444444179534912,0.2165585607290268,0.9944444298744202
9,0.9522102475166321,0.0010000000474974513,0.1947227418422699,0.9892473220825195,0.9444444179534912,0.2802068889141083,0.9777777791023254
