epoch,accuracy,learning_rate,loss,top_2_accuracy,val_accuracy,val_loss,val_top_2_accuracy
0,0.9247311949729919,9.999999747378752e-06,0.2926608920097351,0.9784946441650391,0.9555555582046509,0.22626893222332,0.9944444298744202
1,0.9330943822860718,9.999999747378752e-06,0.2754175066947937,0.9880525469779968,0.9666666388511658,0.19508346915245056,0.9944444298744202
2,0.9354838728904724,9.999999747378752e-06,0.2633587718009949,0.9844683408737183,0.9722222089767456,0.1813260167837143,0.9944444298744202
3,0.9438470602035522,9.999999747378752e-06,0.20465566217899323,0.9892473220825195,0.9722222089767456,0.17517304420471191,0.9944444298744202
4,0.9354838728904724,9.999999747378752e-06,0.22372576594352722,0.9844683408737183,0.9722222089767456,0.1719435304403305,0.9944444298744202
5,0.9402628540992737,9.999999747378752e-06,0.23291830718517303,0.9880525469779968,0.9722222089767456,0.17133823037147522,0.9944444298744202
6,0.9545997381210327,9.999999747378752e-06,0.18974122405052185,0.9916368126869202,0.9722222089767456,0.170512393116951,0.9944444298744202
7,0.9462365508079529,9.999999747378752e-06,0.19683702290058136,0.9892473220825195,0.9722222089767456,0.17453855276107788,0.9944444298744202
8,0.9486260414123535,9.999999747378752e-06,0.1813753992319107,0.9952210187911987,0.9722222089767456,0.17491401731967926,0.9944444298744202
9,0.9414575695991516,9.999999747378752e-06,0.18701446056365967,0.9916368126869202,0.9722222089767456,0.17591895163059235,0.9944444298744202
10,0.9366785883903503,4.999999873689376e-06,0.22134187817573547,0.9928315281867981,0.9722222089767456,0.17621900141239166,0.9944444298744202
