model_name,model_type,backbone,members,use_pretrained_backbone,image_size,train_accuracy,validation_accuracy,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,class_names
main_ecosort_model,ensemble_member,EfficientNetB3,-,True,"(300, 300)",0.9988052845001221,0.9555555582046509,0.9611111283302307,0.9631507775524003,0.9611111111111111,0.9613347457627119,"B3, Glass, Metal, Organic, Paper, Plastic"
soft_voting_ensemble,deployment_model,-,"EfficientNetB3, EfficientNetV2B0",True,"(300, 300)",,,0.9666666666666667,0.9687194525904204,0.9666666666666667,0.9670054459267939,"B3, Glass, Metal, Organic, Paper, Plastic"
