epoch,accuracy,learning_rate,loss,top_2_accuracy,val_accuracy,val_loss,val_top_2_accuracy
0,0.7001194953918457,0.0010000000474974513,1.0112258195877075,0.8506571054458618,0.9166666865348816,0.8132286071777344,0.9944444298744202
1,0.8948625922203064,0.0010000000474974513,0.3843860924243927,0.9725208878517151,0.9277777671813965,0.6105931997299194,0.9777777791023254
2,0.9068100452423096,0.0010000000474974513,0.33628547191619873,0.9820788502693176,0.9222221970558167,0.4093420207500458,0.9888888597488403
3,0.9103942513465881,0.0010000000474974513,0.26170963048934937,0.9820788502693176,0.9333333373069763,0.28715798258781433,0.9833333492279053
4,0.9426523447036743,0.0010000000474974513,0.20106495916843414,0.9928315281867981,0.949999988079071,0.21880105137825012,0.9888888597488403
5,0.9569892287254333,0.0010000000474974513,0.19928160309791565,0.9892473220825195,0.9444444179534912,0.21028763055801392,0.9777777791023254
6,0.937873363494873,0.0010000000474974513,0.2488436996936798,0.9892473220825195,0.9333333373069763,0.2337752729654312,0.9833333492279053
7,0.9557945132255554,0.0010000000474974513,0.18666718900203705,0.9880525469779968,0.9388889074325562,0.27072039246559143,0.9888888597488403
8,0.9629629850387573,0.0010000000474974513,0.16434171795845032,0.9952210187911987,0.9222221970558167,0.29629912972450256,0.9888888597488403
9,0.9677419066429138,0.0005000000237487257,0.15708523988723755,0.9952210187911987,0.9222221970558167,0.30913877487182617,0.9888888597488403
10,0.9641577005386353,0.0005000000237487257,0.15861660242080688,0.9940263032913208,0.949999988079071,0.2150542438030243,0.9888888597488403
11,0.9677419066429138,0.0005000000237487257,0.14262649416923523,0.9964157938957214,0.949999988079071,0.2288057804107666,0.9888888597488403
12,0.9784946441650391,0.0002500000118743628,0.11560565233230591,0.9976105093955994,0.9555555582046509,0.23520299792289734,0.9888888597488403
13,0.9761051535606384,0.0002500000118743628,0.13029047846794128,0.9952210187911987,0.9555555582046509,0.22435565292835236,0.9888888597488403
14,0.9892473220825195,0.0002500000118743628,0.0833829715847969,0.9988052845001221,0.9555555582046509,0.23384511470794678,0.9888888597488403
15,0.979689359664917,0.0001250000059371814,0.11648144572973251,0.9940263032913208,0.9555555582046509,0.2307579517364502,0.9888888597488403
16,0.979689359664917,0.0001250000059371814,0.12967483699321747,0.9940263032913208,0.949999988079071,0.22875329852104187,0.9888888597488403
17,0.9844683408737183,0.0001250000059371814,0.10180822759866714,0.9976105093955994,0.9555555582046509,0.21429583430290222,0.9833333492279053
18,0.9892473220825195,6.25000029685907e-05,0.08002987504005432,0.9988052845001221,0.9555555582046509,0.21322590112686157,0.9833333492279053
19,0.9784946441650391,6.25000029685907e-05,0.11727891862392426,0.9988052845001221,0.9555555582046509,0.21342875063419342,0.9833333492279053
20,0.9856630563735962,6.25000029685907e-05,0.10098614543676376,0.9988052845001221,0.9555555582046509,0.21351206302642822,0.9833333492279053
