epoch,accuracy,learning_rate,loss,top_2_accuracy,val_accuracy,val_loss,val_top_2_accuracy
0,0.9772998690605164,9.999999747378752e-06,0.12880854308605194,0.9976105093955994,0.9555555582046509,0.23688527941703796,0.9888888597488403
1,0.9856630563735962,9.999999747378752e-06,0.09621910005807877,0.9988052845001221,0.949999988079071,0.22903035581111908,0.9888888597488403
2,0.979689359664917,9.999999747378752e-06,0.11552836745977402,0.9940263032913208,0.949999988079071,0.23160527646541595,0.9888888597488403
3,0.9832736253738403,9.999999747378752e-06,0.10032575577497482,0.9988052845001221,0.949999988079071,0.21443915367126465,0.9888888597488403
4,0.9832736253738403,9.999999747378752e-06,0.09198965132236481,1.0,0.9555555582046509,0.21238651871681213,0.9888888597488403
5,0.979689359664917,9.999999747378752e-06,0.1017056480050087,0.9988052845001221,0.949999988079071,0.22560898959636688,0.9888888597488403
6,0.9880525469779968,9.999999747378752e-06,0.0991826131939888,0.9988052845001221,0.949999988079071,0.21963924169540405,0.9833333492279053
7,0.9844683408737183,9.999999747378752e-06,0.09415312856435776,1.0,0.9555555582046509,0.2047537863254547,0.9888888597488403
8,0.9832736253738403,9.999999747378752e-06,0.1068917065858841,0.9976105093955994,0.949999988079071,0.225004181265831,0.9833333492279053
9,0.9868578314781189,9.999999747378752e-06,0.08784466981887817,1.0,0.949999988079071,0.21712031960487366,0.9888888597488403
10,0.9928315281867981,9.999999747378752e-06,0.0759396106004715,0.9988052845001221,0.949999988079071,0.21359087526798248,0.9888888597488403
11,0.9892473220825195,9.999999747378752e-06,0.08689510077238083,0.9988052845001221,0.9555555582046509,0.20231792330741882,0.9888888597488403
12,0.9928315281867981,9.999999747378752e-06,0.07093250006437302,0.9988052845001221,0.9555555582046509,0.20285029709339142,0.9888888597488403
